Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player_Link
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54H/9768D,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/HD,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5,
2025,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3H/D8,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3H,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45/H,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3H,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D2H,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654H/D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4H/3D,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D4H/53,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D/H,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/D,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*436/DH,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47/6DH,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*37HD/59,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5/DH,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5697H/4D13,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*54H/6,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2H/D,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/H,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64/H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D74H/5,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59H/D,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*87H/9,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/HD,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*97H8/D,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5/HD,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9H/D,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3H/D4,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3/DH,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*798/DH,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7H,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*84H/97,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*79H/8,
2025,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D/H5,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64/5H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7D/H,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2/HD,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/HD,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D54H3,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9D7H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D/H,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3H/5,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/97,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5D/H3,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487D/H93,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*98H7D,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654/H1,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47H9/D5,
